Nom du capteur,Module,Type,Tension de fonctionnement,Type d’interface,Plateforme principale,Courant typique,Puissance,Prix de référence (Amazon),Prix de référence (AliExpress),Avantages,Inconvénients,Description / Application,Lien fiche technique,Remarques
HC-SR501 PIR,Détection de mouvement,Capteur infrarouge passif,4.5–12 V,GPIO,ESP32 / STM32 / Arduino,65 µA,"0,0003 W",5.50 €,1.95 €,"Faible consommation, coût réduit",Peu sensible aux mouvements lents ou aux fortes températures,Détection du rayonnement thermique des animaux et déclenchement de la prise de photo par l’ESP32-CAM,components101.com/sensors/hc-sr501-pir-sensor,Solution principale
AM312 Mini PIR,Détection de mouvement,Mini-capteur infrarouge,2.7–12 V,GPIO,ESP32 / Arduino,15 µA,"0,00004 W",3.90 €,1.40 €,"Très basse consommation,  taille compacte","Portée courte (≤ 3 m), angle restreint, sensibilité non réglable",Adapté aux systèmes solaires à faible consommation,alldatasheet.com/AM312,Option
RCWL-0516,Détection de mouvement,Radar micro-ondes Doppler,4 – 28 V ,GPIO,ESP32 / Raspberry Pi,≈ 2.8 mA,"0,0112 W",7.40 €,1.45 €,"Traverse le plastique/verre/bois mince, insensible à la température, très réactif","Sensible aux interférences RF, portée influencée par l’environnement",Détection de mouvement par effet Doppler,handsontec.com/dataspecs/sensor/radar-sensor.pdf,Non essentiel
HC-SR04,Détection de mouvement,Capteur ultrasonique,5 V,GPIO (Trig/Echo),Arduino / STM32,≈ 15 mA,"0,075 W",4.20 €,1.05 €,"Mesure précise (2 cm – 4 m), insensible à la lumière","Sensible à la température, au vent, aux surfaces molles ; angle étroit",Aide à estimer la distance ou la présence d’obstacles,sparkfun.com/datasheets/Sensors/Proximity/HCSR04.pdf,Option / non indispensable
MLX90640,Détection de mouvement,Matrice infrarouge thermique (32×24),3.0–3.6 V,I²C,ESP32 / RPi / Arduino,≈ 23 mA,"0,069 W",52.50 €,29.50 €,"Image thermique en temps réel, haute précision","Coût et consommation élevés, nécessite un traitement d’image",Capteur thermique matriciel pouvant générer des cartes de chaleur,melexis.com/datasheet-mlx90640,Non essentiel
DHT22,Surveillance environnementale,Température / humidité,3.5–5.5 V,1-Wire,Toutes plateformes,≈ 2.5 mA,"0,00875 W",9.50 €,1.45 €,"Bonne précision, sortie numérique,  facile d’usage","Réponse lente (~2 s), non étanche",Mesure de température et d’humidité ambiantes,components101.com/sensors/dht22,Option
BME280,Surveillance environnementale,Température / humidité / pression,1.71–3.6 V,I²C / SPI,ESP32 / RPi,≈ 0.6 mA,"0,00216 W",8.50 €,3.00 €,"Haute précision, très faible consommation,  capteur 3-en-1","Non étanche, plus cher","Capteur principal T°/RH/Pression, idéal pour systèmes autonomes",bosch-sensortec.com/bst-bme280,Solution principale
BME680,Surveillance environnementale,"T°, RH, pression + qualité d’air",1.71–3.6 V,I²C / SPI,ESP32 / RPi,≈ 2 – 3 mA,"0,0108 W",17.00 €,5.00 €,"Mesure 4 paramètres (T°, RH, P, gaz VOC), haute stabilité","Coût élevé, besoin d’un temps de chauffe (1–2 min)",Module environnemental avancé pour qualité de l’air,octopart.com/datasheet/bme680,Extension
BH1750,Surveillance environnementale,Luminosité (lux),2.4–3.6 V,I²C,Toutes plateformes,0.12 mA,"0,000432 W",6.00 €,3.00 €,"Haute sensibilité, insensible IR","Ne mesure ni IR ni UV, inutilisable dans l’obscurité totale",Mesure de la lumière ambiante (jour/nuit),components101.com/sensors/bh1750,Non essentiel
Rain Sensor,Surveillance environnementale,Détection de pluie,5 V,A0 + D0,Arduino / STM32,3 – 15 mA,"0,075 W",4.00 €,1.50 €,"Sensibilité réglable,  sortie analogique + numérique","Sensible à la poussière et l’humidité, non étanche",Détection de pluie ou humidité de surface,components101.com/sensors/rain-drop-sensor-module,Non essentiel
MAX9814,Audio,Micro analogique (AGC),2.7–5.5 V,Analogique (ADC) / I²S,ESP32 / STM32,≈ 3 mA,"0,0165 W",7.00 €,1.45 €,"AGC intégré, signal stable, faible bruit","Non étanche, sensible aux bruits ambiants",Détection des sons d’animaux ou environnementaux,analog.com/MAX9814.pdf,Solution principale
SPH0645LM4H-B,Audio,Micro numérique MEMS,1.62–3.6 V,I²S,ESP32 / RPi,0.6 mA,"0,00216 W",4.50 €,2.50 €,"Sortie numérique stable, pas besoin d’ADC, très faible conso","Pas de sortie analogique, ne mesure pas l’intensité sonore",Capture audio numérique I²S,digikey.fr/SPH0645LM4H-B,Option
NEO-6M GPS,Localisation / GPS,Récepteur satellite,3.0–5.0 V,UART (TX/RX),ESP32 / Arduino / RPi,≈ 35 mA,"0,175 W",10.00 €,8.50 €,"Haute précision, faible coût","Nécessite ciel dégagé, démarrage lent",Donne la position (GPS) et l’heure (UTC),https://octopart.com/zh/datasheet/neo-6m-0-001-u-blox-103344288?msclkid=6ae49431239e1ff5d6f0fcd53cfe3047&utm_source=bing&utm_medium=cpc&utm_campaign=b_cpc_emea-fr_search_dsa_english_en_usd_all-categories&utm_term=semiconductors&utm_content=Discrete+Semiconductors+DSA,Option
